"Number","Name","Phone","Teams","E-mail","URL","Address","On time","Average delay","Currency","Default lead time","Total cost","NOTES","ACCOUNT","Payment period","Payment period type"
"V00151","PIRIE ENTERPRISES PTY LTD","0755922 790",,"admin@pirie.net.au",,"22 INDUSTIRAL AVE, SOUTHPORT QLD 4215",0,0,"$",,0,,,,
"V00308","PJ BOWERS PTY LTD","07 55938277",,"sales@pjbowers.com.au",,"PJ BOWERS, 13 CENTRAL DRIVE, BURLEIGH HEADS QLD 4220, Australia",0,11,"AUD",,142.77,,,1,0
"V00199","PLASTRAL PTY LTD","073623 2455",,"sheetqld@plastral.com.au",,"UNIT 6/112 CULLEN AVE WEST, EAGLE FARM QLD 4009, Australia",50,4.5,"$",,861.21,,"N",,
"V00152","POLYMEDIC","0755393 633",,"accounts@polymedic.com.au",,"397-401 Nerang Rd, ASHMORE QLD 4214, Australia",0,0,"$",,0,,,,
"V00193","PR CLEANING RAGS","07 388 941 58",,"prcrags@optusnet.com.au",,,0,0,"$",,0,,"Y",,
"V00276","PREMIER WINDSCREENS",,,,,,0,0,"$",,0,,,,
"V00076","PRIMARY METALS & ALLOYS PTY LTD",0737190000,,"accounts@primarymetals.com.au",,"126 Mica St, CAROLE PARK QLD 4300, Australia",0,25,"$",,1839.1,,,,
"V00044","PSC INSURANCE",,,,,,0,0,"$",,0,,,,
"V00314","PSI FLUID POWER",0397205577,,"sales@psifluidpower.com.au",,,100,0,"AUD",,3631.6,,,,
"V00241","QANTAS",,,,,,0,0,"$",,0,,,,
"V00035","Qingdao Wantong Hyd Pwr",,,,,,0,0,"$",,0,,,,
"V00218","QUEENSLAND STEEL & SHEET","073260 1000",,"accountsrec@qss.net.au",,"58 Tingira St, PINKENBA QLD 4008, Australia",0,0,"$",,0,,,,
"V00088","RED BEARD PLUMBING",,,,,,0,0,"$",,0,,,,
"V00195","RED DEVIL RADIATORS & AIR CONDITIONING",,,,,,0,0,"$",,0,,,,
"V00284","REPCO",,,,,,0,0,"$",,0,,,,
"V00062","REXEL",,,,,,0,0,"$",,0,,,,
"V00047","REXEL ELECTRICAL SUPPLIES",,,,,,0,0,"$",,0,,,,
"V00056","REXROTH BOSCH GROUP",,,,,,0,0,"$",,0,,,,
"V00136","RITE PRICE DISTRIBUTORS",,,"sales@ritepriceindustrial.com.au",,,13,12.2,"$",,644.07,,,,
"V00004","ROWMARK","1300 023 370",,"sales@rowmark.com.au",,"10/167 PROSPECT HIGHWAY, SEVEN HILLS NSW 2147, Australia",0,12,"$",,404,,,,
"V00180","RRSAFETY2018",,,,,,0,0,"$",,0,,,,
"V00200","RSEA SAFETY",,,,,,0,0,"$",,0,,,,
"V00282","RW PROMOTION",,,,,,0,0,"$",,0,,,,
"V00243","SAURASHTRA NI RASDHARA PVT LTD",,,,,,0,0,"$",,0,,,,
"V00129","SCAVATE EARTHWORKS",,,"scavate@gmail.com",,"78 The Panorama, TALLAI QLD 4213, Australia",0,0,"$",,0,,,,
"V00238","SCHENKER AUSTRALIA PTY LTD",,,"sharyn.tamlyn@dbschenker.com",,"72-80 Bourke Rd, ALEXANDRIA NSW 2015, Australia",0,0,"$",,0,,,,
"V00230","SCREEN PRINCE",,,,,,0,0,"$",,0,,,,
"V00135","SEI CARBIDE",,,"sales@seiaustralia.com.au",,,0,42.631578947368,"$",,1730.75,,"N",,
"151193+","SELECTION STEEL","07 3713 0034",,"r.mccarthy@selection.com.au",,,19,5.9032258064516,"AUD",,20579.49,,"N",,
"V00073","SEVEN ELEVEN",,,,,,0,0,"$",,0,,,,
"V00175","SEWELL POWER TRANSFER PTY LTD",,,"sewellpowertrans@gmail.com",,"Office 4 24 Technology Dr, ARUNDEL QLD 4214, Australia",0,0,"$",,0,,,,
"V00007","Shaanxi Xieli photo Electric",,,,,,0,0,"$",,0,,,,
"V00134","SHAANXI XIELI PHOTO ELECTRIC INSTRUMENT",8613379547761,,,,"2 XINKE ROAD, EASTERN DEVELOPMENT DISTRICT XIAN 710043, China",0,0,"$",,0,,,,
"V00124","SHE TREES PTY LTD",,,,,"11 Mark Way, MUDGEERABA QLD 4213, Australia",0,0,"$",,0,,,,
"V00215","SHELVING & SHOP DISPLAYS",,,,,,0,0,"$",,0,,,,
"V00023","shenzhen artek elec co ltd",,,,,,0,0,"$",,0,,,,
"V00138","SHENZHEN EVERPOWER ELECTRONICS CO LTD",8675527819677,,"ep_emma@ivcharger.com.cn",,"D/3F,E BUIDING,YICHENG INDUSTRIAL PARK, TIEGANG VILLAGE, XIXIANG STREET, BAO'AN DISTRICT SHENZHEN CITY, China",0,0,"$",,0,,,,
"V00335","SHENZHEN TENCHY SILICONE RUBBER CO. LDT","86-755 29181281",,,,,0,12,"USD",,1501.5,,"N",,
"V00173","SILVIO DE VITO",,,,,,0,0,"$",,0,,,,
"V00255","SITEGROUND",,,,,,0,0,"$",,0,,,,
"V00029","smt-pneumatic.com",,,,,,0,0,"$",,0,,,,
"V00115","SOLALUNA88",,,,,,0,0,"$",,0,,,,
"V00082","South Coast Steel Pty Ltd",,,,,,0,0,"$",,0,,,,
"V00233","SOUTHERN QUEENSLAND STEEL PTY LTD","073271 9111",,,,"97 Coulson St, WACOL QLD 4076, Australia",0,0,"$",,0,,,,
71188,"SOUTHERN SHEET & COIL PTY LTD","029792 2099",,"salesqld@southernsheetandcoil.com.au",,"2 STEEL STREET, BANKSTOWN NSW 2200",0,0,"$",,0,,,,
"V00279","SOUTHERN STAINLESS","0755490 560",,"accounts@southernstainless.com.au",,"SOUTHERN STAINLESS, 39 Notar Dr, ORMEAU QLD 4208, Australia",20,9.6938775510204,"$",,3339,,"Y",30,10
"V00204","SOUTHWARD PTY LTD",,,,,,0,0,"$",,0,,,,
"V00100","SPAR SUPERMARKET",,,,,,0,0,"$",,0,,,,
"V00206","SPECIALISED ANODISING SERVICE",,,"kellie@allpropertystock.com.au",,"54 Gerara Ct, CLAGIRABA QLD 4211, Australia",11,13.916666666667,"$",,662,,,,
"V00108","SPECIFIC SPRINGS","075529 7204",,"admin@specificsprings.com.au",,"Unit 3 14 Millaroo Dr, HELENSVALE QLD 4212, Australia",0,0,"$",,0,,,,
"V00116","SPRUSON & FERGUSON",,,,,,0,0,"$",,0,,,,
"V00048","STATEWIDE BEARINGS",,,,,,0,0,"$",,0,,,,
"V00050","STEFFI BURNS",,,,,,0,0,"$",,0,,,,
"V00153","STONECORP QLD PTY LTD",0732799009,,"accounts@stonecorpqld.com.au",,"34 TELFORD CIRCUIT, YATALA QLD 4211, Australia",0,0,"$",,0,,,,
"V00291","STONKAM","8620 66670988",,"rachel_xia@stonkam.com",,"STONKAM, 5/F #3 BUILDING, HUANGZHOU INDUSTRIAL PARK,, CHEBEI RD, TIANHE DIS,, 510665 GUANGZHOU, 510665, China",100,0,"$",20,3429.06,,,3,0
"V00133","STRUTS R US",,,,,,0,0,"$",,0,,,,
"V00154","STS MARINE INDUSTRIAL PRODUCTS","0755646 908",,"accounts@stsmarine.com.au",,"Unit 2 9 Enterprise St, MOLENDINAR QLD 4214, Australia",0,0,"$",,0,,,,
"V00328","SUPAGAS","0427 811 420",,"ordersqld@supagas.com.au",,,0,19.9,"$",,411,"FORKLIFT GAS = $1.50 PER MONTH RENT / ARGON = $8 / SUPASHIELD","N",,
"V00172","SUPER CHEAP AUTO",,,,,,0,0,"$",,0,,,,
5068,"SUPER START BATTERIES","029755 7851",,,,"Unit 30 76 Hume Hwy, LANSVALE NSW 2166, Australia",0,0,"$",,0,,,,
"V00126","SUPERCHEAP",,,,,,0,0,"$",,0,,,,
"V00250","SUPERCHEAP AUTO",,,,,,0,0,"$",,0,,,,
"V00217","SWIFT SUPPLIES ONLINE PTY LTD",,,"service@swiftsupplies.com.au",,"99 Harburg Dr, BEENLEIGH QLD 4207, Australia",0,0,"$",,0,,,,
"V00197","SYDNEY TOOLS",,,,,,0,0,"$",,0,,,,
"V00155","TABLETOP INNOVATIONS",,,,,,0,0,"$",,0,,,,
"V00236","TAEGUTEC AUSTRALIA",,,,,,0,0,"$",,0,,,,
"V00171","TAIPAN PTY LTD","07 5428 1211",,"sales@taipan.com.au",,"ATTN: DAKOTA, TAIPAN HYRAULIC HOSE SYSTEMS, 11-13 LEAR JET DRIVE, CABOOLTURE QLD 4214, Australia, 0430585996",0,17,"$",,796.95,,,,
"V00069","TECHS ON SITE",,,,,,0,0,"$",,0,,,,
"V00310","TECHSYS ENGINEERING","07 5568 0339",,"cameron@techsys.net.au",,,100,0,"$",,0,,,,
"V00295","TEEMU",,,,,,0,0,"$",,0,,,,
"V00156","TELLAM CIVIL PRODUCTS",0755976966,,"ap@tellam.com.au",,"6 RON PARKENSON CRESCENT, BELL CREEK QLD 4551",0,0,"$",,0,,,,
"V00083","tels",,,,,,0,0,"$",,0,,,,
"235 2064 600","TELSTRA","13 20 00",,,,"GPO BOX 9901, MELBOURNE VIC 3001",0,0,"$",,0,,,,
"V00246","TEMPE TYRE & WHEEL CENTRE",,,,,,0,0,"$",,0,,,,
"V00260","TEMU",,,,,,0,0,"$",,0,,,,
"V00157","TERRA SAFE PRODUCTS",15096693739,,"patrickcrandall@yahoo.com",,"1316 SPRINGWATER AVE, WENATCHEE WA 98801, USA",0,0,"$",,0,,,,
"V00242","THE GILD GROUP",,,,,,0,0,"$",,0,,,,
"V00269","THYSSENKRUPP MATERIALS AUSTRALIA PTY LTD","029757 7777",,"mark.greenfield@thyssendrupp-materials.com.au",,"UNIT 2, 7-10 DENOCI CLOSE, WETHERILL PARK NSW 2164, Australia",0,8,"$",,2232,,,,
"V00228","TMR OFFENCE",,,,,,0,0,"$",,0,,,,
"V00158","TMR VEHICLE REGISTRATION",,,,,,0,0,"$",,0,,,,
1055537,"TOLL TRANSPORT","1800 188 655",,"gssreceivable@tollgroup.com",,"LEVEL 7 ST KILDA ROAD, MELBOURNE VIC 3004",0,0,"$",,0,,,,
"V00139","TOSHIBA AUSTRALIA",,,,,,0,0,"$",,0,,,,
"V00063","TOTAL TOOLS","075665 2100",,,,"19 Gateway Dr, BIGGERA WATERS QLD 4216, Australia",0,0,"$",,0,,,,
"V00165","TOTALLY WORKWEAR",,,,,,0,0,"$",,0,,,,
"V00072","TRAVEL ASSOCIATES",,,,,,0,0,"$",,0,,,,
"V00105","TSM - THE STEEL MARKET PTY. LTD","1300 200 876",,"gareth@thesteelmarket.com.au",,"61 Griffin Cresent, Brendale, Brisbane Qld 4500, Australia",48,3.7678571428571,"$",,35995.65,,"Y",,
"V00159","TUBE BEND",0755973911,,"info@tubebendonline.com",,,0,0,"$",,0,,,,
"V00192","TVH AUSTRALIA PTY LTD",,,,,,0,0,"$",,0,,,,
"V00223","TYNIC AUTOMATION PTY LTD","073879 3888",,"sales@tynic.com.au",,"UNIT 1-82 WESTCOMBE STREET, DARRA QLD 4076, Australia",0,3,"$",,380.9,,"N",,
"V00160","ULLRICH ALUMINIUM PTY LTD",0755202799,,"accountspayable@ullrich.com.au",,"24 Township Dr, BURLEIGH HEADS QLD 4220, Australia",0,0,"$",,0,,,,
"V00031","Ultipower",13823195025,,"info@wbrbattery.com","https://www.universal-power.com.cn/",,0,0,"USD",30,0,,"N",,
"V00038","UPS",,,,,,0,0,"$",,0,,,,
"V00301","V00009 V00294",,,,,,0,0,"$",,0,,,,
"V00303","V00017 V00294",,,,,,0,0,"$",,0,,,,
"V00305","V00020 V00268",,,,,,0,0,"$",,0,,,,
"V00306","V00035 V00171",,,,,,0,0,"$",,0,,,,
"V00304","V00060 V00006",,,,,,0,0,"$",,0,,,,
"V00300","V00294 V00009",,,,,,0,0,"$",,0,,,,
"V00302","V00294 V00017",,,,,,0,0,"$",,0,,,,
"V00240","VACLIFT SYSTEMS PTY LTD",,,"admin@bweng.com.au",,,0,0,"$",,0,,,,
"V00257","VADAME V",,,,,,0,0,"$",,0,,,,
"V00085","VANGUARD","073909 7600",,,,"UNITS 5B & 5C 23 BREENE PLACE, MORNINGSIDE QLD 4170, Australia",0,0,"$",,0,,,,
"V00191","VECTOR LIFTING","089417 9128",,,,"43 Spencer St, COCKBURN CENTRAL WA 6164, Australia",0,0,"$",,0,,,,
"V00211","VEOLIA","073275 0111",,"jessica.clark@veolia.com",,"42 SUSCATAND STREET, ROCKLEA QLD 4106, Australia",0,0,"$",,0,,,,
"V00232","VIRGIN AUSTRALIA",,,,,,0,0,"$",,0,,,,
874689944,"VODAFONE",,,,,"GPO BOX 2699, SYDNEY NSW 1158",0,0,"$",,0,,,,
"V00251","VULCAN COIL DIVISION","07 3826 3000",,"brett.simon@vulcan.co",,"Brett Simon, Vulcan Coil Division, 139 Magnesium Drive, Crestmead QLD 4132, Australia",64,0.46153846153846,"$",2,9594.76,,,,
"V00087","VULCAN ENGINEERING STEELS",,,"engineering.brisbane@vulcan.co",,"PO BOX 7056, DANDENONG VICTORIA 3175",0,8.2857142857143,"$",,536.8,,,,
"V00161","VULCAN PLATE PROCESSING",0734414400,,"sunny.lo@vulcan.co",,"PO BOX 7056, DANDENONG VIC 3175",29,7.4444444444444,"$",,3249.98,,,,
"V00162","VULCAN STAINLESS",07336470560,,"stainlessplate.brisbane@vulcan.co",,"PO BOX 7056, DANDENONG MELBOURNE 3175",0,14,"$",,459.1,,,,
"V00067","WARWICK ALLERTON HOTEL",,,,,,0,0,"$",,0,,,,
"V00285","WEBCENTRAL",,,,,,0,0,"$",,0,,,,
"V00032","Wenzhou Airbest Pneumatics",,,,,,0,0,"$",,0,,,,
"V00053","WOOLWORTHS",,,,,,0,0,"$",,0,,,,
"V00013","www.faryuan.com",,,"alexyfy@gmail.com",,,0,16,"USD",,476,,,,
"V00005","www.ficrelay.com.hk",,,,,,0,0,"$",,0,,,,
"V00006","www.kaiyuanpneumatic.com",,,,,,0,0,"USD",,0,,"N",,
"V00019","www.kitstop.com.au",,,,,,0,0,"$",,0,,,,
"V00012","www.lefoo.com",,,,,,0,0,"$",,0,,,,
"V00186","YHI POWER PTY LTD","07337 1461",,"receivables@yhipower.com.au",,"Shop 1 141 Boundary Rd, OXLEY QLD 4075, Australia",0,0,"$",,0,,,,
"V00289","ZAIGEO GROUP","0086-18912460040",,"sales@waterjeter.com",,"ZAIGEO GROUP, 99 GONGYUAN ROAD, QINGPU DISTRICT SHANGAI 201799, China",0,0,"$",,0,,,,
"XM-AU-001-250530","ZAIGEO MACHINERY TECHNOLOGY CO., LTD",008618912460040,,"sales@waterjeter.com",,"NO.99 GONGYUAN ROAD, QINGPU DISTRICT, SHANGHAI 201799, China",100,0,"$",,2006.646,,"N",,
"V00318","ZEXTRUDE",0466454715,,"admin@zextrude.com.au",,,0,0,"$",,0,"WE PURCHASE 3D PRINTER FILAMENT","N",,
"V00317","ZG WATER JET",,,"eva@zgwaterjet.com",,"ZG WATER JET, 99 PARK ROAD, SHANGHAI, China, +86-021-69787273",0,0,"USD",,0,,,,
